r_id,hour,gen
24,2436,0.0
25,2436,0.0
26,2436,0.0
27,2436,0.0
28,2436,0.0
29,2436,0.0
30,2436,0.0
34,2436,0.0
35,2436,0.0
36,2436,0.0
38,2436,0.0
3,2437,1.0
4,2437,1.0
5,2437,1.0
6,2437,1.0
7,2437,0.0
8,2437,0.0
9,2437,0.0
10,2437,0.0
11,2437,0.0
12,2437,0.0
13,2437,0.0
20,2437,0.0
21,2437,0.0
22,2437,0.0
23,2437,0.0
24,2437,0.0
25,2437,0.0
26,2437,0.0
27,2437,0.0
28,2437,0.0
29,2437,0.0
30,2437,0.0
34,2437,0.0
35,2437,0.0
36,2437,0.0
38,2437,0.0
3,2438,1.0
4,2438,1.0
5,2438,1.0
6,2438,1.0
7,2438,0.0
8,2438,0.0
9,2438,0.0
10,2438,0.0
11,2438,0.0
12,2438,0.0
13,2438,0.0
20,2438,0.0
21,2438,0.0
22,2438,0.0
23,2438,0.0
24,2438,0.0
25,2438,0.0
26,2438,0.0
27,2438,0.0
28,2438,0.0
29,2438,0.0
30,2438,0.0
34,2438,0.0
35,2438,0.0
36,2438,0.0
38,2438,0.0
3,2439,1.0
4,2439,1.0
5,2439,1.0
6,2439,1.0
7,2439,0.0
8,2439,0.0
9,2439,0.0
10,2439,0.0
11,2439,0.0
12,2439,0.0
13,2439,0.0
20,2439,0.0
21,2439,0.0
22,2439,0.0
23,2439,0.0
24,2439,0.0
25,2439,0.0
26,2439,0.0
27,2439,0.0
28,2439,0.0
29,2439,0.0
30,2439,0.0
34,2439,0.0
35,2439,0.0
36,2439,0.0
38,2439,0.0
3,2440,1.0
4,2440,1.0
5,2440,1.0
6,2440,1.0
7,2440,0.0
8,2440,0.0
9,2440,0.0
10,2440,0.0
11,2440,0.0
12,2440,0.0
13,2440,0.0
20,2440,0.0
21,2440,0.0
22,2440,0.0
23,2440,0.0
24,2440,0.0
25,2440,0.0
26,2440,0.0
27,2440,0.0
28,2440,0.0
29,2440,0.0
30,2440,0.0
34,2440,0.0
35,2440,0.0
36,2440,0.0
38,2440,0.0
3,2441,1.0
4,2441,1.0
5,2441,1.0
6,2441,1.0
7,2441,0.0
8,2441,0.0
9,2441,0.0
10,2441,0.0
11,2441,0.0
12,2441,0.0
13,2441,0.0
20,2441,0.0
21,2441,0.0
22,2441,0.0
23,2441,0.0
24,2441,0.0
25,2441,0.0
26,2441,0.0
27,2441,0.0
28,2441,0.0
29,2441,0.0
30,2441,0.0
34,2441,0.0
35,2441,0.0
36,2441,0.0
38,2441,0.0
3,2442,1.0
4,2442,1.0
5,2442,1.0
6,2442,1.0
7,2442,1.0
8,2442,0.0
9,2442,0.0
10,2442,0.0
11,2442,0.0
12,2442,0.0
13,2442,0.0
20,2442,0.0
21,2442,0.0
22,2442,0.0
23,2442,0.0
24,2442,0.0
25,2442,0.0
26,2442,0.0
27,2442,0.0
28,2442,0.0
29,2442,0.0
30,2442,0.0
34,2442,0.0
35,2442,0.0
36,2442,0.0
38,2442,0.0
3,2443,1.0
4,2443,1.0
5,2443,1.0
6,2443,1.0
7,2443,1.0
8,2443,0.0
9,2443,0.0
10,2443,1.0
11,2443,0.0
12,2443,0.0
13,2443,1.0
20,2443,0.0
21,2443,0.0
22,2443,0.0
23,2443,1.0
24,2443,1.0
25,2443,1.0
26,2443,1.0
27,2443,0.0
28,2443,1.0
29,2443,0.0
30,2443,0.0
34,2443,0.0
35,2443,0.0
36,2443,0.0
38,2443,0.0
3,2444,1.0
4,2444,1.0
5,2444,1.0
6,2444,1.0
7,2444,1.0
8,2444,0.0
9,2444,0.0
10,2444,1.0
11,2444,0.0
12,2444,0.0
13,2444,1.0
20,2444,0.0
21,2444,0.0
22,2444,0.0
23,2444,1.0
24,2444,1.0
25,2444,1.0
26,2444,1.0
27,2444,1.0
28,2444,1.0
29,2444,0.0
30,2444,1.0
34,2444,0.0
35,2444,0.0
36,2444,0.0
38,2444,0.0
3,2445,1.0
