MSN,YYYYMM,Value,Column_Order,Description,Unit
RERCBUS,200802,42.594,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200803,46.539,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200804,45.641,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200805,47.513,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200806,46.206,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200807,47.837,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200808,47.776,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200809,45.916,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200810,46.809,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200811,44.597,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200812,45.755,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200901,48.647,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200902,44.473,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200903,50.129,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200904,49.122,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200905,51.113,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200906,49.692,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200907,51.44,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200908,51.379,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200909,49.399,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200910,50.402,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200911,48.067,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,200912,49.337,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201001,52.23,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201002,47.734,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201003,53.781,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201004,52.684,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201005,54.81,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201006,53.28,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201007,55.152,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201008,55.088,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201009,52.974,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201010,54.067,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201011,51.58,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201012,52.952,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201101,51.261,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201102,46.89,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201103,52.897,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201104,51.864,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201105,53.982,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201106,52.492,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201107,54.343,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201108,54.276,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201109,52.17,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201110,53.199,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201111,50.7,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201112,52.023,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201201,44.051,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201202,41.72,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201203,45.793,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201204,45.033,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201205,46.949,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201206,45.702,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201207,47.333,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201208,47.262,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201209,45.359,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201210,46.114,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201211,43.793,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201212,44.863,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201301,55.799,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201302,51.078,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201303,57.684,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201304,56.599,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201305,58.935,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201306,57.323,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201307,59.351,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201308,59.273,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201309,56.952,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201310,58.032,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201311,55.258,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201312,56.678,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201401,56.86,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201402,52.049,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201403,58.84,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201404,57.728,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201405,60.159,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201406,58.547,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201407,60.59,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201408,60.54,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201409,58.225,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201410,59.376,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201411,56.474,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201412,57.991,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201501,51.396,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201502,47.284,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201503,53.789,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201504,53.107,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201505,55.428,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201506,54.036,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
RERCBUS,201507,56.062,4,Total Renewable Energy Consumed by the Residential Sector,Trillion Btu
