r_id,hour,gen
12,2434,0.0
13,2434,0.0
20,2434,0.0
21,2434,0.0
22,2434,0.0
23,2434,0.0
24,2434,0.0
25,2434,0.0
26,2434,0.0
27,2434,0.0
28,2434,0.0
29,2434,0.0
30,2434,0.0
31,2434,64.97536
32,2434,3.184932
33,2434,2259.25
34,2434,0.0
35,2434,0.0
36,2434,0.0
37,2434,0.0
38,2434,0.0
39,2434,0.0
40,2434,0.0
41,2434,0.0
42,2434,0.0
1,2435,21.4
2,2435,41.99999999999997
3,2435,219.7702
4,2435,16.5
5,2435,24.7
6,2435,346.3891880000001
7,2435,0.0
8,2435,0.0
9,2435,0.0
10,2435,0.0
11,2435,0.0
12,2435,0.0
13,2435,0.0
20,2435,0.0
21,2435,0.0
22,2435,0.0
23,2435,0.0
24,2435,0.0
25,2435,0.0
26,2435,0.0
27,2435,0.0
28,2435,0.0
29,2435,0.0
30,2435,0.0
31,2435,71.65567999999999
32,2435,3.184932
33,2435,2360.4
34,2435,0.0
35,2435,0.0
36,2435,0.0
37,2435,0.0
38,2435,0.0
39,2435,0.0
40,2435,0.0
41,2435,0.0
42,2435,0.0
1,2436,0.0
2,2436,0.0
3,2436,219.7702
4,2436,16.5
5,2436,24.7
6,2436,200.07
7,2436,0.0
8,2436,0.0
9,2436,0.0
10,2436,0.0
11,2436,0.0
12,2436,0.0
13,2436,0.0
20,2436,0.0
21,2436,0.0
22,2436,0.0
23,2436,0.0
24,2436,0.0
25,2436,0.0
26,2436,0.0
27,2436,0.0
28,2436,0.0
29,2436,0.0
30,2436,0.0
31,2436,0.0
32,2436,0.0
33,2436,2467.9598
34,2436,0.0
35,2436,0.0
36,2436,0.0
37,2436,0.0
38,2436,0.0
39,2436,0.0
40,2436,0.0
41,2436,0.0
42,2436,0.0
1,2437,0.0
2,2437,0.0
3,2437,219.7702
4,2437,16.5
5,2437,24.7
6,2437,200.07
7,2437,0.0
8,2437,0.0
9,2437,0.0
10,2437,0.0
11,2437,0.0
12,2437,0.0
13,2437,0.0
20,2437,0.0
21,2437,0.0
22,2437,0.0
23,2437,0.0
24,2437,0.0
25,2437,0.0
26,2437,0.0
27,2437,0.0
28,2437,0.0
29,2437,0.0
30,2437,0.0
31,2437,0.0
32,2437,0.0
33,2437,2221.9598
34,2437,0.0
35,2437,0.0
36,2437,0.0
37,2437,0.0
38,2437,0.0
39,2437,0.0
40,2437,0.0
41,2437,0.0
42,2437,0.0
1,2438,0.0
2,2438,0.0
3,2438,219.7702
4,2438,16.5
5,2438,24.7
6,2438,200.07
7,2438,0.0
8,2438,0.0
9,2438,0.0
10,2438,0.0
11,2438,0.0
12,2438,0.0
13,2438,0.0
20,2438,0.0
21,2438,0.0
22,2438,0.0
23,2438,0.0
24,2438,0.0
25,2438,0.0
26,2438,0.0
27,2438,0.0
28,2438,0.0
29,2438,0.0
30,2438,0.0
31,2438,0.0
32,2438,0.0
33,2438,2133.9598
34,2438,0.0
35,2438,0.0
36,2438,0.0
37,2438,0.0
38,2438,0.0
39,2438,0.0
40,2438,0.0
41,2438,0.0
42,2438,0.0
1,2439,0.0
2,2439,0.0
3,2439,219.7702
4,2439,16.5
5,2439,24.7
6,2439,200.07
7,2439,0.0
8,2439,0.0
9,2439,0.0
10,2439,0.0
11,2439,0.0
